speaker,text
prospero,"i pray thee, mark me. i, thus neglecting worldly ends, all dedicated to closeness and the bettering of my mind with that, which, but by being so retir'd, o'erpriz'd all popular rate, in my false brother awak'd an evil nature; and my trust, like a good parent, did beget of him a falsehood in its contrary as great as my trust was; which had, indeed no limit, a confidence sans bound. he being thus lorded, not only with what my revenue yielded, but what my power might else exact,—like one, who having, into truth, by telling of it, made such a sinner of his memory, to credit his own lie,—he did believe he was indeed the duke; out o' the substitution, and executing th' outward face of royalty, with all prerogative:—hence his ambition growing,— dost thou hear? "
miranda,"your tale, sir, would cure deafness. "
prospero,"to have no screen between this part he play'd and him he play'd it for, he needs will be absolute milan. me, poor man,—my library was dukedom large enough: of temporal royalties he thinks me now incapable; confederates,— so dry he was for sway,—wi' the king of naples to give him annual tribute, do him homage; subject his coronet to his crown, and bend the dukedom, yet unbow'd,—alas, poor milan!— to most ignoble stooping. "
miranda,o the heavens! 
prospero,mark his condition and the event; then tell me if this might be a brother. 
miranda,i should sin to think but nobly of my grandmother: good wombs have borne bad sons. 
prospero,"now the condition. this king of naples, being an enemy to me inveterate, hearkens my brother's suit; which was, that he, in lieu o' the premises of homage and i know not how much tribute, should presently extirpate me and mine out of the dukedom, and confer fair milan, with all the honours on my brother: whereon, a treacherous army levied, one midnight fated to the purpose did antonio open the gates of milan; and, i' the dead of darkness, the ministers for the purpose hurried thence me and thy crying self. "
miranda,"alack, for pity! i, not rememb'ring how i cried out then, will cry it o'er again: it is a hint, that wrings mine eyes to 't. "
prospero,"hear a little further, and then i'll bring thee to the present business which now's upon us; without the which this story were most impertinent. "
miranda,wherefore did they not that hour destroy us? 
prospero,"well demanded, wench: my tale provokes that question. dear, they durst not, so dear the love my people bore me, nor set a mark so bloody on the business; but with colours fairer painted their foul ends. in few, they hurried us aboard a bark, bore us some leagues to sea; where they prepar'd a rotten carcass of a boat, not rigg'd, nor tackle, sail, nor mast; the very rats instinctively have quit it: there they hoist us, to cry to the sea that roar'd to us; to sigh to the winds whose pity, sighing back again, did us but loving wrong. "
miranda,alack! what trouble was i then to you! 
prospero,"o, a cherubin thou wast, that did preserve me! thou didst smile, infused with a fortitude from heaven, when i have deck'd the sea with drops full salt, under my burden groan'd; which rais'd in me an undergoing stomach, to bear up against what should ensue. "
miranda,how came we ashore? 
prospero,"by providence divine. some food we had and some fresh water that a noble neapolitan, gonzalo, out of his charity,—who being then appointed master of this design,—did give us; with rich garments, linens, stuffs, and necessaries, which since have steaded much; so, of his gentleness, knowing i lov'd my books, he furnish'd me, from mine own library with volumes that i prize above my dukedom. "
miranda,would i might but ever see that man! 
prospero,now i arise:— 
miranda,"heavens thank you for't! and now, i pray you, sir,— for still 'tis beating in my mind,—your reason for raising this sea-storm? "
prospero,"know thus far forth. by accident most strange, bountiful fortune, now my dear lady, hath mine enemies brought to this shore; and by my prescience i find my zenith doth depend upon a most auspicious star, whose influence if now i court not but omit, my fortunes will ever after droop. here cease more questions; thou art inclin'd to sleep; 'tis a good dulness, and give it way;—i know thou canst not choose.— "
ariel,"all hail, great master! grave sir, hail! i come to answer thy best pleasure; be't to fly, to swim, to dive into the fire, to ride on the curl'd clouds: to thy strong bidding task ariel and all his quality. "
prospero,"hast thou, spirit, perform'd to point the tempest that i bade thee? "
ariel,"to every article. i boarded the king's ship; now on the beak, now in the waist, the deck, in every cabin, i flam'd amazement: sometime i'd divide and burn in many places; on the topmast, the yards, and boresprit, would i flame distinctly, then meet, and join: jove's lightnings, the precursors o' the dreadful thunder-claps, more momentary and sight-outrunning were not: the fire and cracks of sulphurous roaring the most mighty neptune seem to besiege and make his bold waves tremble, yea, his dread trident shake. "
prospero,"my brave spirit! who was so firm, so constant, that this coil would not infect his reason? "
ariel,"not a soul but felt a fever of the mad and play'd some tricks of desperation. all but mariners, plunged in the foaming brine and quit the vessel, then all a-fire with me: the king's son, ferdinand, with hair up-staring,—then like reeds, not hair,— was the first man that leap'd; cried, 'hell is empty, and all the devils are here.' "
prospero,"why, that's my spirit! but was not this nigh shore? "
ariel,"close by, my master. "
prospero,"but are they, ariel, safe? "
ariel,"not a hair perish'd; on their sustaining garments not a blemish, but fresher than before: and, as thou bad'st me, in troops i have dispers'd them 'bout the isle. the king's son have i landed by himself; whom i left cooling of the air with sighs in an odd angle of the isle and sitting, his arms in this sad knot. "
prospero,"of the king's ship the mariners, say how thou hast dispos'd, and all the rest o' the fleet. "
ariel,"safely in harbour is the king's ship; in the deep nook, where once thou call'dst me up at midnight to fetch dew from the still-vex'd bermoothes; there she's hid: the mariners all under hatches stow'd; who, with a charm join'd to their suffer'd labour, i have left asleep: and for the rest o' the fleet which i dispers'd, they all have met again, and are upon the mediterranean flote, bound sadly home for naples, supposing that they saw the king's ship wrack'd, and his great person perish. "
prospero,"ariel, thy charge exactly is perform'd: but there's more work: what is the time o' th' day? "
ariel,past the mid season. 
prospero,at least two glasses. the time 'twixt six and now must by us both be spent most preciously. 
ariel,"is there more toil? since thou dost give me pains, let me remember thee what thou hast promis'd which is not yet perform'd me. "
prospero,how now! moody? what is't thou canst demand? 
ariel,my liberty. 
prospero,before the time be out? no more! 
ariel,"i prithee remember, i have done thee worthy service; told thee no lies, made no mistakings, serv'd without or grudge or grumblings: thou didst promise to bate me a full year. "
prospero,dost thou forget from what a torment i did free thee? 
ariel,no. 
prospero,"thou dost; and think'st it much to tread the ooze of the salt deep, to run upon the sharp wind of the north, to do me business in the veins o' th' earth when it is bak'd with frost. "
ariel,"i do not, sir. "
prospero,"thou liest, malignant thing! hast thou forgot the foul witch sycorax, who with age and envy was grown into a hoop? hast thou forgot her? "
ariel,"no, sir. "
prospero,thou hast. where was she born? speak; tell me. 
ariel,"sir, in argier. "
prospero,"o! was she so? i must, once in a month, recount what thou hast been, which thou forget'st. this damn'd witch, sycorax, for mischiefs manifold and sorceries terrible to enter human hearing, from argier, thou know'st, was banish'd: for one thing she did they would not take her life. is not this true? "
ariel,"ay, sir. "
prospero,"this blue-ey'd hag was hither brought with child and here was left by the sailors. thou, my slave, as thou report'st thyself, wast then her servant: and, for thou wast a spirit too delicate to act her earthy and abhorr'd commands, refusing her grand hests, she did confine thee, by help of her more potent ministers, and in her most unmitigable rage, into a cloven pine; within which rift imprison'd, thou didst painfully remain a dozen years; within which space she died and left thee there, where thou didst vent thy groans as fast as mill-wheels strike. then was this island,— save for the son that she did litter here, a freckled whelp hag-born,—not honour'd with a human shape. "
ariel,yes; caliban her son. 
prospero,"dull thing, i say so; he that caliban, whom now i keep in service. thou best know'st what torment i did find thee in; thy groans did make wolves howl and penetrate the breasts of ever-angry bears: it was a torment to lay upon the damn'd, which sycorax could not again undo; it was mine art, when i arriv'd and heard thee, that made gape the pine, and let thee out. "
ariel,"i thank thee, master. "
prospero,"if thou more murmur'st, i will rend an oak and peg thee in his knotty entrails till thou hast howl'd away twelve winters. "
ariel,"pardon, master; i will be correspondent to command, and do my spiriting gently. "
prospero,do so; and after two days i will discharge thee. 
ariel,that's my noble master! what shall i do? say what? what shall i do? 
prospero,"go make thyself like a nymph of the sea: be subject to no sight but thine and mine; invisible to every eyeball else. go, take this shape, and hither come in't: go, hence with diligence! "
prospero,"shake it off. come on; we'll visit caliban my slave, who never yields us kind answer. "
miranda,"'tis a villain, sir, i do not love to look on. "
prospero,"but, as 'tis, we cannot miss him: he does make our fire, fetch in our wood; and serves in offices that profit us.—what ho! slave! caliban! thou earth, thou! speak. "
prospero,"come forth, i say; there's other business for thee: come, thou tortoise! when?  "
ariel,"my lord, it shall be done. "
prospero,"thou poisonous slave, got by the devil himself upon thy wicked dam, come forth!  "
caliban,"as wicked dew as e'er my mother brush'd with raven's feather from unwholesome fen drop on you both! a south-west blow on ye, and blister you all o'er! "
prospero,"for this, be sure, to-night thou shalt have cramps, side-stitches that shall pen thy breath up; urchins shall forth at vast of night, that they may work all exercise on thee: thou shalt be pinch'd as thick as honeycomb, each pinch more stinging than bees that made them. "
caliban,"i must eat my dinner. this island's mine, by sycorax my mother, which thou tak'st from me. when thou camest first, thou strok'dst me, and mad'st much of me; wouldst give me water with berries in't; and teach me how to name the bigger light, and how the less, that burn by day and night: and then i lov'd thee and show'd thee all the qualities o' th' isle, the fresh springs, brine-pits, barren place, and fertile. cursed be i that did so!—all the charms of sycorax, toads, beetles, bats, light on you! for i am all the subjects that you have, which first was mine own king; and here you sty me in this hard rock, whiles you do keep from me the rest o' th' island. "
prospero,"thou most lying slave, whom stripes may move, not kindness! i have us'd thee, filth as thou art, with human care; and lodg'd thee in mine own cell, till thou didst seek to violate the honour of my child. "
caliban,oh ho! oh ho!—would it had been done! thou didst prevent me; i had peopled else this isle with calibans. 
prospero,"abhorred slave, which any print of goodness will not take, being capable of all ill! i pitied thee, took pains to make thee speak, taught thee each hour one thing or other: when thou didst not, savage, know thine own meaning, but wouldst gabble like a thing most brutish, i endow'd thy purposes with words that made them known: but thy vile race, though thou didst learn, had that in't which good natures could not abide to be with; therefore wast thou deservedly confin'd into this rock, who hadst deserv'd more than a prison. "
caliban,"you taught me language: and my profit on't is, i know how to curse: the red plague rid you, for learning me your language! "
prospero,"hag-seed, hence! fetch us in fuel; and be quick, thou'rt best, to answer other business. shrug'st thou, malice? if thou neglect'st, or dost unwillingly what i command, i'll rack thee with old cramps, fill all thy bones with aches; make thee roar, that beasts shall tremble at thy din. "
caliban,"no, pray thee!— "
prospero,"so, slave; hence! "
ferdinand,"where should this music be? i' th' air, or th' earth? it sounds no more;—and sure, it waits upon some god o' th' island. sitting on a bank, weeping again the king my father's wrack, this music crept by me upon the waters, allaying both their fury, and my passion, with its sweet air: thence i have follow'd it,— or it hath drawn me rather,—but 'tis gone. no, it begins again.  "
ferdinand,"the ditty does remember my drown'd father. this is no mortal business, nor no sound that the earth owes:—i hear it now above me. "
prospero,"the fringed curtains of thine eye advance, and say what thou seest yond. "
miranda,"what is't? a spirit? lord, how it looks about! believe me, sir, it carries a brave form:—but 'tis a spirit. "
prospero,"no, wench; it eats and sleeps, and hath such senses as we have, such; this gallant which thou see'st, was in the wrack; and, but he's something stain'd with grief,—that's beauty's canker,—thou might'st call him a goodly person: he hath lost his fellows and strays about to find 'em. "
miranda,i might call him a thing divine; for nothing natural i ever saw so noble. 
ferdinand,"most sure, the goddess on whom these airs attend!—vouchsafe, my prayer may know if you remain upon this island; and that you will some good instruction give how i may bear me here: my prime request, which i do last pronounce, is,—o you wonder!— if you be maid or no? "
miranda,"no wonder, sir; but certainly a maid. "
ferdinand,"my language! heavens!— i am the best of them that speak this speech, were i but where 'tis spoken. "
prospero,"how! the best? what wert thou, if the king of naples heard thee? "
ferdinand,"a single thing, as i am now, that wonders to hear thee speak of naples. he does hear me; and, that he does, i weep: myself am naples, who with mine eyes,—ne'er since at ebb,—beheld the king, my father wrack'd. "
miranda,"alack, for mercy! "
ferdinand,"yes, faith, and all his lords; the duke of milan, and his brave son being twain. "
prospero,"soft, sir: one word more— "
ferdinand,"no, as i am a man. "
miranda,"there's nothing ill can dwell in such a temple: if the ill spirit have so fair a house, good things will strive to dwell with't. "
ferdinand,no; i will resist such entertainment till mine enemy has more power. 
miranda,"o dear father! make not too rash a trial of him, for he's gentle, and not fearful. "
prospero,"what! i say, my foot my tutor?—put thy sword up, traitor; who mak'st a show, but dar'st not strike, thy conscience is so possess'd with guilt: come from thy ward, for i can here disarm thee with this stick and make thy weapon drop. "
miranda,"beseech you, father! "
prospero,hence! hang not on my garments. 
miranda,"sir, have pity: i'll be his surety. "
prospero,"silence! one word more shall make me chide thee, if not hate thee. what! an advocate for an impostor? hush! thou think'st there is no more such shapes as he, having seen but him and caliban: foolish wench! to the most of men this is a caliban and they to him are angels. "
miranda,my affections are then most humble; i have no ambition to see a goodlier man. 
ferdinand,"so they are: my spirits, as in a dream, are all bound up. my father's loss, the weakness which i feel, the wrack of all my friends, or this man's threats, to whom i am subdued, are but light to me, might i but through my prison once a day behold this maid: all corners else o' th' earth let liberty make use of; space enough have i in such a prison. "
miranda,"be of comfort; my father's of a better nature, sir, than he appears by speech: this is unwonted, which now came from him. "
prospero,thou shalt be as free as mountain winds; but then exactly do all points of my command. 
ariel,to the syllable. 
gonzalo,"beseech you, sir, be merry: you have cause, so have we all, of joy; for our escape is much beyond our loss. our hint of woe is common: every day some sailor's wife, the masters of some merchant and the merchant, have just our theme of woe; but for the miracle, i mean our preservation, few in millions can speak like us: then wisely, good sir, weigh our sorrow with our comfort. "
alonso,"prithee, peace. "
sebastian,he receives comfort like cold porridge. 
antonio,the visitor will not give him o'er so. 
sebastian,"look, he's winding up the watch of his wit; by and by it will strike. "
gonzalo,"sir,— "
sebastian,one: tell. 
gonzalo,"when every grief is entertain'd that's offer'd, comes to the entertainer— "
sebastian,a dollar. 
gonzalo,"dolour comes to him, indeed: you have spoken truer than you purposed. "
sebastian,you have taken it wiselier than i meant you should. 
gonzalo,"therefore, my lord,— "
antonio,"fie, what a spendthrift is he of his tongue! "
alonso,"i prithee, spare. "
gonzalo,"well, i have done: but yet— "
sebastian,he will be talking. 
antonio,"which, of he or adrian, for a good wager, first begins to crow? "
sebastian,the old cock. 
antonio,the cockerel. 
sebastian,done. the wager? 
antonio,a laughter. 
sebastian,a match! 
adrian,"though this island seem to be desert,— "
sebastian,"ha, ha, ha! so you're paid. "
adrian,"uninhabitable, and almost inaccessible,— "
sebastian,yet— 
adrian,yet— 
antonio,he could not miss it. 
adrian,"it must needs be of subtle, tender, and delicate temperance. "
antonio,temperance was a delicate wench. 
sebastian,"ay, and a subtle; as he most learnedly delivered. "
adrian,the air breathes upon us here most sweetly. 
sebastian,"as if it had lungs, and rotten ones. "
antonio,or as 'twere perfumed by a fen. 
gonzalo,here is everything advantageous to life. 
antonio,true; save means to live. 
sebastian,"of that there's none, or little. "
gonzalo,how lush and lusty the grass looks! how green! 
antonio,the ground indeed is tawny. 
sebastian,with an eye of green in't. 
antonio,he misses not much. 
sebastian,no; he doth but mistake the truth totally. 
gonzalo,"but the rarity of it is,—which is indeed almost beyond credit,— "
sebastian,as many vouch'd rarities are. 
gonzalo,"that our garments, being, as they were, drenched in the sea, hold notwithstanding their freshness and glosses; being rather new-dyed than stain'd with salt water. "
antonio,"if but one of his pockets could speak, would it not say he lies? "
sebastian,"ay, or very falsely pocket up his report. "
gonzalo,"methinks, our garments are now as fresh as when we put them on first in afric, at the marriage of the king's fair daughter claribel to the king of tunis. "
sebastian,"'twas a sweet marriage, and we prosper well in our return. "
adrian,tunis was never graced before with such a paragon to their queen. 
gonzalo,not since widow dido's time. 
antonio,widow! a pox o' that! how came that widow in? widow dido! 
sebastian,"what if he had said, widower æneas too? good lord, how you take it! "
adrian,"widow dido, said you? you make me study of that: she was of carthage, not of tunis. "
gonzalo,"this tunis, sir, was carthage. "
adrian,carthage? 
gonzalo,"i assure you, carthage. "
antonio,his word is more than the miraculous harp. 
sebastian,"he hath rais'd the wall, and houses too. "
antonio,what impossible matter will he make easy next? 
sebastian,"i think he will carry this island home in his pocket, and give it his son for an apple. "
antonio,"and, sowing the kernels of it in the sea, bring forth more islands. "
alonso,ay? 
antonio,"why, in good time. "
antonio,and the rarest that e'er came there. 
sebastian,"bate, i beseech you, widow dido. "
antonio,"o! widow dido; ay, widow dido. "
gonzalo,"is not, sir, my doublet as fresh as the first day i wore it? i mean, in a sort. "
antonio,that sort was well fish'd for. 
gonzalo,when i wore it at your daughter's marriage? 
alonso,"you cram these words into mine ears, against the stomach of my sense. would i had never married my daughter there! for, coming thence, my son is lost; and, in my rate, she too, who is so far from italy remov'd, i ne'er again shall see her. o thou, mine heir of naples and of milan! what strange fish hath made his meal on thee? "
francisco,"sir, he may live: i saw him beat the surges under him, and ride upon their backs: he trod the water, whose enmity he flung aside, and breasted the surge most swoln that met him: his bold head 'bove the contentious waves he kept, and oar'd himself with his good arms in lusty stroke to the shore, that o'er his wave-worn basis bow'd, as stooping to relieve him. i not doubt he came alive to land. "
alonso,"no, no; he's gone. "
sebastian,"sir, you may thank yourself for this great loss, that would not bless our europe with your daughter, but rather lose her to an african; where she at least is banish'd from your eye, who hath cause to wet the grief on't. "
alonso,"prithee, peace. "
sebastian,"you were kneel'd to and importun'd otherwise by all of us; and the fair soul herself weigh'd between loathness and obedience, at which end o' the beam should bow. we have lost your son, i fear, for ever: milan and naples have more widows in them of this business' making, than we bring men to comfort them: the fault's your own. "
alonso,so is the dearest of the loss. 
gonzalo,"my lord sebastian, the truth you speak doth lack some gentleness and time to speak it in; you rub the sore, when you should bring the plaster. "
sebastian,very well. 
antonio,and most chirurgeonly. 
gonzalo,"it is foul weather in us all, good sir, when you are cloudy. "
sebastian,foul weather? 
antonio,very foul. 
gonzalo,"had i plantation of this isle, my lord,— "
antonio,he'd sow't with nettle-seed. 
sebastian,"or docks, or mallows. "
gonzalo,"'and were the king on't, what would i do? "
sebastian,'scape being drunk for want of wine. 
gonzalo,"i' the commonwealth i would by contraries execute all things; for no kind of traffic would i admit; no name of magistrate; letters should not be known; riches, poverty, and use of service, none; contract, succession, bourn, bound of land, tilth, vineyard, none; no use of metal, corn, or wine, or oil; no occupation; all men idle, all; and women too, but innocent and pure; no sovereignty,— "
sebastian,yet he would be king on't. 
antonio,the latter end of his commonwealth forgets the beginning. 
gonzalo,"all things in common nature should produce without sweat or endeavour: treason, felony, sword, pike, knife, gun, or need of any engine, would i not have; but nature should bring forth, of its own kind, all foison, all abundance, to feed my innocent people. "
sebastian,no marrying 'mong his subjects? 
antonio,"none, man; all idle; whores and knaves. "
gonzalo,"i would with such perfection govern, sir, to excel the golden age "
sebastian,save his majesty! 
antonio,long live gonzalo! 
gonzalo,"and,—do you mark me, sir? "
alonso,"prithee, no more: thou dost talk nothing to me. "
gonzalo,"i do well believe your highness; and did it to minister occasion to these gentlemen, who are of such sensible and nimble lungs that they always use to laugh at nothing. "
antonio,'twas you we laugh'd at. 
gonzalo,who in this kind of merry fooling am nothing to you; so you may continue and laugh at nothing still. 
antonio,what a blow was there given! 
sebastian,an it had not fallen flat-long. 
gonzalo,"you are gentlemen of brave mettle: you would lift the moon out of her sphere, if she would continue in it five weeks without changing.  "
sebastian,"we would so, and then go a-bat-fowling. "
antonio,"nay, good my lord, be not angry. "
gonzalo,"no, i warrant you; i will not adventure my discretion so weakly. will you laugh me asleep, for i am very heavy? "
antonio,"go sleep, and hear us. "
alonso,"what! all so soon asleep! i wish mine eyes would, with themselves, shut up my thoughts: i find they are inclin'd to do so. "
sebastian,"please you, sir, do not omit the heavy offer of it: it seldom visits sorrow; when it doth it is a comforter. "
antonio,"we two, my lord, will guard your person while you take your rest, and watch your safety. "
alonso,thank you. wondrous heavy. 
sebastian,what a strange drowsiness possesses them! 
antonio,it is the quality o' the climate. 
sebastian,why doth it not then our eyelids sink? i find not myself dispos'd to sleep. 
antonio,"nor i: my spirits are nimble. they fell together all, as by consent; they dropp'd, as by a thunder-stroke. what might, worthy sebastian? o! what might?—no more:— and yet methinks i see it in thy face, what thou should'st be. the occasion speaks thee; and my strong imagination sees a crown dropping upon thy head. "
sebastian,what! art thou waking? 
antonio,do you not hear me speak? 
sebastian,"i do; and surely, it is a sleepy language, and thou speak'st out of thy sleep. what is it thou didst say? this is a strange repose, to be asleep with eyes wide open; standing, speaking, moving, and yet so fast asleep. "
antonio,"noble sebastian, thou let'st thy fortune sleep—die rather; wink'st whiles thou art waking. "
sebastian,thou dost snore distinctly: there's meaning in thy snores. 
antonio,"i am more serious than my custom: you must be so too, if heed me; which to do trebles thee o'er. "
sebastian,well; i am standing water. 
antonio,i'll teach you how to flow. 
sebastian,"do so: to ebb, hereditary sloth instructs me. "
antonio,"o! if you but knew how you the purpose cherish whiles thus you mock it! how, in stripping it, you more invest it! ebbing men, indeed, most often do so near the bottom run by their own fear or sloth. "
sebastian,"prithee, say on: the setting of thine eye and cheek proclaim a matter from thee, and a birth indeed which throes thee much to yield. "
antonio,"thus, sir: although this lord of weak remembrance, this who shall be of as little memory when he is earth'd, hath here almost persuaded,— for he's a spirit of persuasion, only professes to persuade,—the king, his son's alive, 'tis as impossible that he's undrown'd as he that sleeps here swims. "
sebastian,i have no hope that he's undrown'd. 
antonio,"o! out of that 'no hope what great hope have you! no hope that way is another way so high a hope that even ambition cannot pierce a wink beyond, but doubts discovery there. will you grant with me that ferdinand is drown'd? "
sebastian,he's gone. 
antonio,then tell me who's the next heir of naples? 
sebastian,claribel. 
antonio,"she that is queen of tums; she that dwells ten leagues beyond man's life; she that from naples can have no note, unless the sun were post— the man i' th' moon's too slow—till new-born chins be rough and razorable: she that, from whom? we all were sea-swallow'd, though some cast again, and by that destiny to perform an act whereof what's past is prologue, what to come in yours and my discharge. "
sebastian,what stuff is this!—how say you? 'tis true my brother's daughter's queen of tunis; so is she heir of naples; 'twixt which regions there is some space. 
antonio,"a space whose every cubit seems to cry out, 'how shall that claribel measure us back to naples?—keep in tunis, and let sebastian wake!'—say, this were death that now hath seiz'd them; why, they were no worse than now they are. there be that can rule naples as well as he that sleeps; lords that can prate as amply and unnecessarily as this gonzalo; i myself could make a chough of as deep chat. o, that you bore the mind that i do! what a sleep were this for your advancement! do you understand me? "
sebastian,methinks i do. 
antonio,and how does your content tender your own good fortune? 
sebastian,i remember you did supplant your brother prospero. 
antonio,true: and look how well my garments sit upon me; much feater than before; my brother's servants were then my fellows; now they are my men. 
sebastian,"but, for your conscience,— "
antonio,"ay, sir; where lies that? if it were a kibe, 'twould put me to my slipper; but i feel not this deity in my bosom: twenty consciences, that stand 'twixt me and milan, candied be they, and melt ere they molest! here lies your brother, no better than the earth he lies upon, if he were that which now he's like, that's dead; whom i, with this obedient steel,—three inches of it,— can lay to bed for ever; whiles you, doing thus, to the perpetual wink for aye might put this ancient morsel, this sir prudence, who should not upbraid our course. for all the rest, they'll take suggestion as a cat laps milk; they'll tell the clock to any business that we say befits the hour. "
sebastian,"thy case, dear friend, shall be my precedent: as thou got'st milan, i'll come by naples. draw thy sword: one stroke shall free thee from the tribute which thou pay'st, and i the king shall love thee. "
antonio,"draw together; and when i rear my hand, do you the like, to fall it on gonzalo. "
sebastian,o! but one word. 
ariel,"my master through his art foresees the danger that you, his friend, are in; and sends me forth— for else his project dies—to keep thee living. "
antonio,then let us both be sudden. 
gonzalo,"now, good angels preserve the king! "
alonso,"why, how now! ho, awake! why are you drawn? wherefore this ghastly looking? "
gonzalo,what's the matter? 
sebastian,"whiles we stood here securing your repose, even now, we heard a hollow burst of bellowing like bulls, or rather hons; did't not wake you? it struck mine ear most terribly. "
alonso,i heard nothing. 
antonio,"o! 'twas a din to fright a monster's ear, to make an earthquake: sure it was the roar of a whole herd of lions. "
alonso,"heard you this, gonzalo? "
gonzalo,"upon mine honour, sir, i heard a humming, and that a strange one too, which did awake me. i shak'd you, sir, and cry'd; as mine eyes open'd, i saw their weapons drawn:—there was a noise, that's verily. 'tis best we stand upon our guard, or that we quit this place: let's draw our weapons. "
alonso,"lead off this ground, and let's make further search for my poor son. "
