speaker,text
princess,"good lord boyet, my beauty, though but mean, needs not the painted flourish of your praise: beauty is bought by judgment of the eye, not utter'd by base sale of chapmen's tongues. i am less proud to hear you tell my worth than you much willing to be counted wise in spending your wit in the praise of mine. but now to task the tasker: good boyet, you are not ignorant, all-telling fame doth noise abroad, navarre hath made a vow, till painful study shall out-wear three years, no woman may approach his silent court: therefore to us seemth it a needful course, before we enter his forbidden gates, to know his pleasure; and in that behalf, bold of your worthiness, we single you as our best-moving fair solicitor. tell him, the daughter of the king of france, on serious business, craving quick dispatch, importunes personal conference with his grace. haste, signify so much; while we attend, like humble-visag'd suitors, his high will. "
boyet,"proud of employment, willingly i go. "
princess,"all pride is willing pride, and yours is so. "
lord 1,lord longaville is one. 
princess,know you the man? 
maria,"i know him, madam: at a marriage feast, between lord perigort and the beauteous heir of jacques falconbridge, solemnized in normandy, saw i this longaville. a man of sovereign parts he is esteem'd; well fitted in the arts, glorious in arms: nothing becomes him ill that he would well. the only soil of his fair virtue's gloss,— if virtue's gloss will stain with any soil,— is a sharp wit match'd with too blunt a will; whose edge hath power to cut, whose will still wills it should none spare that come within his power. "
princess,"some merry mocking lord, belike; is't so? "
maria,they say so most that most his humours know. 
princess,such short-liv'd wits do wither as they grow. who are the rest? 
katharine,"the young dumaine, a well-accomplish'd youth, of all that virtue love for virtue lov'd: most power to do most harm, least knowing ill, for he hath wit to make an ill shape good, and shape to win grace though he had no wit. i saw him at the duke alençon's once; and much too little of that good i saw is my report to his great worthiness. "
rosaline,"another of these students at that time was there with him, if i have heard a truth: berowne they call him; but a merrier man, within the limit of becoming mirth, i never spent an hour's talk withal. his eye begets occasion for his wit; for every object that the one doth catch the other turns to a mirth-moving jest, which his fair tongue, conceit's expositor, delivers in such apt and gracious words, that aged ears play truant at his tales, and younger hearings are quite ravished; so sweet and voluble is his discourse. "
princess,"god bless my ladies! are they all in love, that every one her own hath garnished with such bedecking ornaments of praise? "
lord 1,here comes boyet.  
princess,"now, what admittance, lord? "
boyet,"navarre had notice of your fair approach; and he and his competitors in oath were all address'd to meet you, gentle lady, before i came. marry, thus much i have learnt; he rather means to lodge you in the field, like one that comes here to besiege his court, than seek a dispensation for his oath, to let you enter his unpeeled house. here comes navarre. "
king,"fair princess, welcome to the court of navarre. "
princess,"'fair,' i give you back again; and 'welcome' i have not yet: the roof of this court is too high to be yours, and welcome to the wide fields too base to be mine. "
king,"you shall be welcome, madam, to my court. "
princess,"i will be welcome, then: conduct me thither. "
king,"hear me, dear lady; i have sworn an oath. "
princess,our lady help my lord! he'll be forsworn. 
king,"not for the world, fair madam, by my will. "
princess,"why, will shall break it; will, and nothing else. "
king,your ladyship is ignorant what it is. 
princess,"were my lord so, his ignorance were wise, where now his knowledge must prove ignorance. i hear your grace hath sworn out house-keeping: 'tis deadly sin to keep that oath, my lord, and sin to break it. but pardon me, i am too sudden-bold: to teach a teacher ill beseemeth me. vouchsafe to read the purpose of my coming, and suddenly resolve me in my suit. "
king,"madam, i will, if suddenly i may. "
princess,"you will the sooner that i were away, for you'll prove perjur'd if you make me stay. "
berowne,did not i dance with you in brabant once? 
rosaline,did not i dance with you in brabant once? 
berowne,i know you did. 
rosaline,how needless was it then to ask the question! 
berowne,you must not be so quick. 
rosaline,'tis 'long of you that spur me with such questions. 
berowne,"your wit's too hot, it speeds too fast, 'twill tire. "
rosaline,not till it leave the rider in the mire. 
berowne,what time o' day? 
rosaline,the hour that fools should ask. 
berowne,now fair befall your mask! 
rosaline,fair fall the face it covers! 
berowne,and send you many lovers! 
rosaline,"amen, so you be none. "
berowne,"nay, then i will be gone. "
king,"madam, your father here doth intimate the payment of a hundred thousand crowns; being but the one half of an entire sum disbursed by my father in his wars. but say that he, or we,—as neither have,— receiv'd that sum, yet there remains unpaid a hundred thousand more; in surety of the which, one part of aquitaine is bound to us, although not valu'd to the money's worth. if then the king your father will restore but that one half which is unsatisfied, we will give up our right in aquitaine, and hold fair friendship with his majesty. but that it seems, he little purposeth, for here he doth demand to have repaid a hundred thousand crowns; and not demands, on payment of a hundred thousand crowns, to have his title live in aquitaine; which we much rather had depart withal, and have the money by our father lent, than aquitaine, so gelded as it is. dear princess, were not his requests so far from reason's yielding, your fair self should make a yielding 'gainst some reason in my breast, and go well satisfied to france again. "
princess,"you do the king my father too much wrong and wrong the reputation of your name, in so unseeming to confess receipt of that which hath so faithfully been paid. "
king,"i do protest i never heard of it; and if you prove it, i'll repay it back or yield up aquitaine. "
princess,"we arrest your word. boyet, you can produce acquittances for such a sum from special officers of charles his father. "
king,satisfy me so. 
boyet,"so please your grace, the packet is not come where that and other specialties are bound: to-morrow you shall have a sight of them. "
king,"it shall suffice me: at which interview all liberal reason i will yield unto. meantime, receive such welcome at my hand as honour, without breach of honour, may make tender of to thy true worthiness. you may not come, fair princess, in my gates; but here without you shall be so receiv'd, as you shall deem yourself lodg'd in my heart, though so denied fair harbour in my house. your own good thoughts excuse me, and farewell: to-morrow shall we visit you again. "
princess,sweet health and fair desires consort your grace! 
king,thy own wish wish i thee in every place! 
berowne,"lady, i will commend you to mine own heart. "
rosaline,"pray you, do my commendations; i would be glad to see it. "
berowne,i would you heard it groan. 
rosaline,is the fool sick? 
berowne,sick at the heart. 
rosaline,alack! let it blood. 
berowne,would that do it good? 
rosaline,"my physic says, 'ay.' "
berowne,will you prick't with your eye? 
rosaline,"no point, with my knife. "
berowne,"now, god save thy life! "
rosaline,and yours from long living! 
berowne,i cannot stay thanksgiving. 
dumaine,"sir, i pray you, a word: what lady is that same? "
boyet,"the heir of alençon, katharine her name. "
dumaine,"a gallant lady. monsieur, fare you well. "
longaville,i beseech you a word: what is she in the white? 
boyet,"a woman sometimes, an you saw her in the light. "
longaville,perchance light in the light. i desire her name. 
boyet,"she hath but one for herself; to desire that, were a shame. "
longaville,"pray you, sir, whose daughter? "
boyet,"her mother's, i have heard. "
longaville,god's blessing on your beard! 
boyet,"good sir, be not offended. she is an heir of falconbridge. "
longaville,"nay, my choler is ended. she is a most sweet lady. "
boyet,"not unlike, sir; that may be. "
berowne,"what's her name, in the cap? "
boyet,"rosaline, by good hap. "
berowne,is she wedded or no? 
boyet,"to her will, sir, or so. "
berowne,"you are welcome, sir. adieu. "
boyet,"farewell to me, sir, and welcome to you. "
maria,"that last is berowne, the merry mad-cap lord: not a word with him but a jest. "
boyet,and every jest but a word. 
princess,it was well done of you to take him at his word. 
boyet,"i was as willing to grapple, as he was to board. "
maria,"two hot sheeps, marry! "
boyet,"and wherefore not ships? no sheep, sweet lamb, unless we feed on your lips. "
maria,"you sheep, and i pasture: shall that finish the jest? "
boyet,so you grant pasture for me. 
maria,"not so, gentle beast. my lips are no common, though several they be. "
boyet,belonging to whom? 
maria,to my fortunes and me. 
princess,"good wits will be jangling; but, gentles, agree. this civil war of wits were much better us'd on navarre and his book-men, for here 'tis abus'd. "
boyet,"if my observation,—which very seldom lies,— by the heart's still rhetoric disclosed with eyes, deceive me not now, navarre is infected. "
princess,with what? 
boyet,with that which we lovers entitle affected. 
princess,your reason. 
boyet,"why, all his behaviours did make their retire to the court of his eye, peeping thorough desire; his heart, like an agate, with your print impress'd, proud with his form, in his eye pride express'd: his tongue, all impatient to speak and not see, did stumble with haste in his eyesight to be; all senses to that sense did make their repair, to feel only looking on fairest of fair, methought all his senses were lock'd in his eye, as jewels in crystal for some prince to buy; who, tend'ring their own worth from where they were glass'd, did point you to buy them, along as you pass'd. his face's own margent did quote such amazes, that all eyes saw his eyes enchanted with gazes. i'll give you aquitaine, and all that is his, an' you give him for my sake but one loving kiss. "
princess,come to our pavilion: boyet is dispos'd. 
boyet,"but to speak that in words which his eye hath disclos'd. i only have made a mouth of his eye, by adding a tongue which i know will not he. "
rosaline,"thou art an old love-monger, and speak'st skilfully. "
maria,he is cupid's grandfather and learns news of him. 
rosaline,"then was venus like her mother, for her father is but grim. "
boyet,"do you hear, my mad wenches? "
maria,no. 
boyet,"what, then, do you see? "
rosaline,"ay, our way to be gone. "
boyet,you are too hard for me. 
armado,"warble, child; make passionate my sense of hearing. "
armado,"sweet air! go, tenderness of years; take this key, give enlargement to the swain, bring him festinately hither; i must employ him in a letter to my love. "
moth,"master, will you win your love with a french brawl? "
armado,how meanest thou? brawling in french? 
moth,"no, my complete master; but to jig off a tune at the tongue's end, canary to it with your feet, humour it with turning up your eyelids, sigh a note and sing a note, sometime through the throat, as if you swallowed love by singing love, sometime through the nose, as if you snuffed up love by smelling love; with your hat penthouse-like o'er the shop of your eyes; with your arms crossed on your thin belly-doublet like a rabbit on a spit; or your hands in your pocket like a man after the old painting; and keep not too long in one tune, but a snip and away. these are complements, these are humours, these betray nice wenches, that would be betrayed without these; and make them men of note,—do you note me?—that most are affected to these. "
armado,how hast thou purchased this experience? 
moth,by my penny of observation. 
armado,"but o—but o,— "
moth,'the hobby-horse is forgot.' 
armado,callest thou my love 'hobby-horse?' 
moth,"no, master; the hobby-horse is but a colt, and your love perhaps, a hackney. but have you forgot your love? "
armado,almost i had. 
moth,negligent student! learn her by heart. 
armado,"by heart, and in heart, boy. "
moth,"and out of heart, master: all those three i will prove. "
armado,what wilt thou prove? 
moth,"a man, if i live; and this, by, in, and without, upon the instant: by heart you love her, because your heart cannot come by her; in heart you love her, because your heart is in love with her; and out of heart you love her, being out of heart that you cannot enjoy her. "
armado,i am all these three. 
moth,"and three times as much more, and yet nothing at all. "
armado,fetch hither the swain: he must carry me a letter. 
moth,a message well sympathized: a horse to be ambassador for an ass. 
armado,"ha, ha! what sayest thou? "
moth,"marry, sir, you must send the ass upon the horse, for he is very slow-gaited. but i go. "
armado,the way is but short: away! 
moth,"as swift as lead, sir. "
armado,"thy meaning, pretty ingenious? is not lead a metal heavy, dull, and slow? "
moth,"minime, honest master; or rather, master, no. "
armado,"i say, lead is slow. "
moth,"you are too swift, sir, to say so: is that lead slow which is fir'd from a gun? "
armado,"sweet smoke of rhetoric! he reputes me a cannon; and the bullet, that's he: i shoot thee at the swain. "
moth,"thump then, and i flee. "
armado,"a most acute juvenal; volable and free of grace! by thy favour, sweet welkin, i must sigh in thy face: most rude melancholy, valour gives thee place. my herald is return'd.  "
moth,"a wonder, master! here's a costard broken in a shin. "
armado,"some enigma, some riddle: come, thy l'envoy; begin. "
costard,"no egma, no riddle, no l'envoy; no salve in the mail, sir. o! sir, plantain, a plain plantain: no l'envoy, no l'envoy: no salve, sir, but a plantain. "
armado,"by virtue, thou enforcest laughter; thy silly thought, my spleen; the heaving of my lungs provokes me to ridiculous smiling: o! pardon me, my stars. doth the inconsiderate take salve for l'envoy, and the word l'envoy for a salve? "
moth,do the wise think them other? is not l'envoy a salve? 
armado,"no, page: it is an epilogue or discourse, to make plain some obscure precedence that hath tofore been sain. i will example it:  the fox, the ape, and the humble-bee were still at odds, being but three.  there's the moral. now the l'envoy. "
moth,i will add the l'envoy. say the moral again. 
armado," the fox, the ape, and the humble-bee, were still at odds, being but three.  "
moth," until the goose came out of door, and stay'd the odds by adding four.  now will i begin your moral, and do you follow with my l'envoy.  the fox, the ape, and the humble-bee, were still at odds, being but three.  "
armado," until the goose came out of door, staying the odds by adding four.  "
moth,"a good l'envoy, ending in the goose. would you desire more? "
costard,"the boy hath sold him a bargain, a goose, that's flat. sir, your pennyworth is good an your goose be fat. to sell a bargain well is as cunning as fast and loose: let me see; a fat l'envoy; ay, that's a fat goose. "
armado,"come hither, come hither. how did this argument begin? "
moth,by saying that a costard was broken in a shin. then call'd you for the l'envoy. 
costard,"true, and i for a plantain: thus came your argument in; then the boy's fat l'envoy, the goose that you bought; and he ended the market. "
armado,but tell me; how was there a costard broken in a shin? 
moth,i will tell you sensibly. 
costard,"thou hast no feeling of it, moth: i will speak that l'envoy: i, costard, running out, that was safely within, fell over the threshold and broke my shin. "
armado,we will talk no more of this matter. 
costard,till there be more matter in the shin. 
armado,"sirrah costard, i will enfranchise thee. "
costard,"o! marry me to one frances: i smell some l'envoy, some goose, in this. "
armado,"by my sweet soul, i mean setting thee at liberty, enfreedoming thy person: thou wert immured, restrained, captivated, bound. "
costard,"true, true, and now you will be my purgation and let me loose. "
armado,"i give thee thy liberty, set thee from durance; and in lieu thereof, impose upon thee nothing but this:— "
moth,"like the sequel, i. signior costard, adieu. "
costard,my sweet ounce of man's flesh! my incony jew! 
berowne,"o! my good knave costard, exceedingly well met. "
costard,"pray you, sir, how much carnation riband may a man buy for a remuneration? "
berowne,what is a remuneration? 
costard,"marry, sir, halfpenny farthing. "
berowne,"why then, three-farthing-worth of silk. "
costard,i thank your worship. god be wi' you! 
berowne,"stay, slave; i must employ thee: as thou wilt win my favour, good my knave, do one thing for me that i shall entreat. "
costard,"when would you have it done, sir? "
berowne,"o, this afternoon. "
costard,"well, i will do it, sir! fare you well. "
berowne,"o, thou knowest not what it is. "
costard,"i shall know, sir, when i have done it. "
berowne,"why, villain, thou must know first. "
costard,i will come to your worship to-morrow morning. 
