speaker,text
falstaff,"no quips now, pistol! indeed, i am in the waist two yards about; but i am now about no waste; i am about thrift. briefly, i do mean to make love to ford's wife: i spy entertainment in her; she discourses, she carves, she gives the leer of invitation: i can construe the action of her familiar style; and the hardest voice of her behaviour, to be englished rightly, is, 'i am sir john falstaff's.' "
pistol,"he hath studied her well, and translated her well, out of honesty into english. "
nym,the anchor is deep: will that humour pass? 
falstaff,"now, the report goes she has all the rule of her husband's purse; he hath a legion of angels. "
pistol,"as many devils entertain, and 'to her, boy,' say i. "
nym,the humour rises; it is good: humour me the angels. 
falstaff,"i have writ me here a letter to her; and here another to page's wife, who even now gave me good eyes too, examined my parts with most judicious œilliades: sometimes the beam of her view gilded my foot, sometimes my portly belly. "
pistol,then did the sun on dunghill shine. 
nym,i thank thee for that humour. 
falstaff,"o! she did so course o'er my exteriors with such a greedy intention, that the appetite of her eye did seem to scorch me up like a burning-glass. here's another letter to her: she bears the purse too; she is a region in guiana, all gold and bounty. i will be 'cheator to them both, and they shall be exchequers to me: they shall be my east and west indies, and i will trade to them both. go bear thou this letter to mistress page; and thou this to mistress ford. we will thrive, lads, we will thrive. "
pistol,"shall i sir pandarus of troy become, and by my side wear steel? then, lucifer take all! "
nym,"i will run no base humour: here, take the humour-letter. i will keep the haviour of reputation. "
pistol,"let vultures gripe thy guts! for gourd and fullam holds, and high and low beguile the rich and poor. tester i'll have in pouch when thou shalt lack, base phrygian turk! "
nym,"i have operations in my head, which be humours of revenge. "
pistol,wilt thou revenge? 
nym,by welkin and her star! 
pistol,with wit or steel? 
nym,"with both the humours, i: i will discuss the humour of this love to page. "
pistol," and i to ford shall eke unfold how falstaff, varlet vile, his dove will prove, his gold will hold, and his soft couch defile.  "
nym,"my humour shall not cool: i will incense page to deal with poison; i will possess him with yellowness, for the revolt of mine is dangerous: that is my true humour. "
pistol,thou art the mars of malcontents: i second thee; troop on. 
quickly,"what, john rugby!—  "
rugby,i'll go watch. 
quickly,"go; and we'll have a posset for't soon at night, in faith, at the latter end of a sea-coal fire. "
simple,"ay, for fault of a better. "
quickly,and master slender's your master? 
simple,"ay, forsooth. "
quickly,does he not wear a great round beard like a glover's paring-knife? 
simple,"no, forsooth: he hath but a little wheyface, with a little yellow beard—a cane-coloured beard. "
quickly,"a softly-sprighted man, is he not? "
simple,"ay, forsooth; but he is as tall a man of his hands as any is between this and his head: he hath fought with a warrener. "
quickly,"how say you?—o! i should remember him: does he not hold up his head, as it were, and strut in his gait? "
simple,"yes, indeed, does he. "
quickly,"well, heaven send anne page no worse fortune! tell master parson evans i will do what i can for your master: anne is a good girl, and i wish—  "
rugby,"out, alas! here comes my master. "
quickly,"we shall all be shent. run in here, good young man; go into this closet.  "
caius,"vat is you sing? i do not like dese toys. pray you, go and vetch me in my closet une boitine verde; a box, a green-a box: do intend vat i speak? a green-a box. "
quickly,"ay, forsooth; i'll fetch it you. "
caius,"fe, fe, fe, fe! ma foi, il fait fort chaud. je m'en vais à la cour,—la grande affaire. "
quickly,"is it this, sir? "
caius,"oui; mettez le au mon pocket; dépêchez, quickly.—vere is dat knave rugby? "
quickly,"what, john rugby! john!  "
rugby,"here, sir. "
caius,"you are john rugby, and you are jack rugby: come, take-a your rapier, and come after my heel to de court. "
rugby,"'tis ready, sir, here in the porch. "
caius,"by my trot, i tarry too long.—od's me! qu'ay j'oublié? dere is some simples in my closet, dat i vill not for de varld i shall leave behind. "
caius,o diable! diable! vat is in my closet?—villain! larron! 
quickly,"good master, be content. "
caius,verefore shall i be content-a? 
quickly,the young man is an honest man. 
caius,vat shall de honest man do in my closet? dere is no honest man dat shall come in my closet. 
quickly,"i beseech you, be not so phlegmatic. hear the truth of it: he came of an errand to me from parson hugh. "
caius,vell. 
simple,"ay, forsooth, to desire her to— "
quickly,"peace, i pray you. "
caius,peace-a your tongue!—speak-a your tale. 
simple,"to desire this honest gentlewoman, your maid, to speak a good word to mistress anne page for my master in the way of marriage. "
quickly,"this is all, indeed, la! but i'll ne'er put my finger in the fire, and need not. "
caius,"sir hugh send-a you?—rugby, baillez me some paper: tarry you a little-a while. "
quickly,"i am glad he is so quiet: if he had been throughly moved, you should have heard him so loud, and so melancholy. but, notwithstanding, man, i'll do your master what good i can; and the very yea and the no is, the french doctor, my master,—i may call him my master, look you, for i keep his house; and i wash, wring, brew, bake, scour, dress meat and drink, make the beds, and do all myself,— "
simple,'tis a great charge to come under one body's hand. 
quickly,"are you avis'd o' that? you shall find it a great charge: and to be up early and down late; but notwithstanding,—to tell you in your ear,—i would have no words of it,—my master himself is in love with mistress anne page: but notwithstanding that, i know anne's mind, that's neither here nor there. "
caius,"you jack'nape, give-a dis letter to sir hugh; by gar, it is a challenge: i vill cut his troat in de park; and i vill teach a scurvy jack-a-nape priest to meddle or make. you may be gone; it is not good you tarry here: by gar, i vill cut all his two stones; by gar, he shall not have a stone to trow at his dog. "
quickly,alas! he speaks but for his friend. 
caius,"it is no matter-a for dat:—do not you tell-a me dat i shall have anne page for myself? by gar, i vill kill de jack priest; and i have appointed mine host of de jartiere to measure our weapon. by gar, i vill myself have anne page. "
quickly,"sir, the maid loves you, and all shall be well. we must give folks leave to prate: what, the good-jer! "
caius,"rugby, come to the court vit me. by gar, if i have not anne page, i shall turn your head out of my door. follow my heels, rugby. "
quickly,"you shall have an fool's-head of your own. no, i know anne's mind for that: never a woman in windsor knows more of anne's mind than i do; nor can do more than i do with her, i thank heaven. "
quickly,"who's there, i trow? come near the house, i pray you.  "
fenton,"how now, good woman! how dost thou? "
quickly,"the better, that it pleases your good worship to ask. "
fenton,what news? how does pretty mistress anne? 
quickly,"in truth, sir, and she is pretty, and honest, and gentle; and one that is your friend, i can tell you that by the way; i praise heaven for it. "
fenton,"shall i do any good, thinkest thou? shall i not lose my suit? "
quickly,"troth, sir, all is in his hands above; but notwithstanding, master fenton, i'll be sworn on a book, she loves you. have not your worship a wart above your eye? "
fenton,"yes, marry have i; what of that? "
quickly,"well, thereby hangs a tale. good faith, it is such another nan; but, i detest, an honest maid as ever broke bread: we had an hour's talk of that wart. i shall never laugh but in that maid's company;—but, indeed, she is given too much to allicholy and musing. but for you—well, go to. "
fenton,"well, i shall see her to-day. hold, there's money for thee; let me have thy voice in my behalf: if thou seest her before me, commend me. "
quickly,"will i? i' faith, that we will: and i will tell your worship more of the wart the next time we have confidence; and of other wooers. "
fenton,"well, farewell; i am in great haste now. "
quickly,farewell to your worship.—
mrs. page,"what! have i 'scaped love-letters in the holiday-time of my beauty, and am i now a subject for them? let me see.  ask me no reason why i love you; for though love use reason for his physician, he admits him not for his counsellor. you are not young, no more am i; go to then, there's sympathy; you are merry, so am i, ha! ha! then, there's more sympathy, you love sack, and so do i, would you desire better sympathy? let it suffice thee, mistress page, at the least, if the love of a soldier can suffice, that i love thee i will not say, pity me,—'tis not a soldier-like phrase; but i say, love me. by me,  thine own true knight, by day or night, or any kind of light, with all his might for thee to fight,  "
falstaff," what a herod of jewry is this! o wicked, wicked world! one that is well-nigh worn to pieces with age, to show himself a young gallant! what an unweighed behaviour hath this flemish drunkard picked, with the devil's name! out of my conversation, that he dares in this manner assay me? why, he hath not been thrice in my company! what should i say to him? i was then frugal of my mirth:—heaven forgive me! why, i'll exhibit a bill in the parliament for the putting down of men. how shall i be revenged on him? for revenged i will be, as sure as his guts are made of puddings.  "
mrs. ford,"mistress page! trust me, i was going to your house. "
mrs. page,"and, trust me, i was coming to you. you look very ill. "
mrs. ford,"nay, i'll ne'er believe that: i have to show to the contrary. "
mrs. page,"faith, but you do, in my mind. "
mrs. ford,"well, i do then; yet, i say i could show you to the contrary. o, mistress page! give me some counsel. "
mrs. page,"what's the matter, woman? "
mrs. ford,"o woman, if it were not for one trifling respect, i could come to such honour! "
mrs. page,"hang the trifle, woman; take the honour. what is it?—dispense with trifles;—what is it? "
mrs. ford,"if i would but go to hell for an eternal moment or so, i could be knighted. "
mrs. page,what? thou liest. sir alice ford! these knights will hack; and so thou shouldst not alter the article of thy gentry. 
mrs. ford,"we burn daylight: here, read, read; perceive how i might be knighted. i shall think the worse of fat men as long as i have an eye to make difference of men's liking: and yet he would not swear; praised women's modesty; and gave such orderly and well-behaved reproof to all uncomeliness, that i would have sworn his disposition would have gone to the truth of his words; but they do no more adhere and keep place together than the hundredth psalm to the tune of 'green sleeves.' what tempest, i trow, threw this whale, with so many tuns of oil in his belly, ashore at windsor? how shall i be revenged on him? i think, the best way were to entertain him with hope, till the wicked fire of lust have melted him in his own grease. did you ever hear the like? "
mrs. page,"letter for letter, but that the name of page and ford differs! to thy great comfort in this mystery of ill opinions, here's the twin brother of thy letter: but let thine inherit first; for, i protest, mine never shall. i warrant, he hath a thousand of these letters, writ with blank space for different names, sure more, and these are of the second edition. he will print them, out of doubt; for he cares not what he puts into the press, when he would put us two: i had rather be a grantess, and lie under mount pelion. well, i will find you twenty lascivious turtles ere one chaste man. "
mrs. ford,"why, this is the very same; the very hand, the very words. what doth he think of us? "
mrs. page,"nay, i know not: it makes me almost ready to wrangle with mine own honesty. i'll entertain myself like one that i am not acquainted withal; for, sure, unless he know some strain in me, that i know not myself, he would never have boarded me in this fury. "
mrs. ford,boarding call you it? i'll be sure to keep him above deck. 
mrs. page,"so will i: if he come under my hatches, i'll never to sea again. let's be revenged on him: let's appoint him a meeting; give him a show of comfort in his suit, and lead him on with a fine-baited delay, till he hath pawned his horses to mine host of the garter. "
mrs. ford,"nay, i will consent to act any villany against him, that may not sully the chariness of our honesty. o, that my husband saw this letter! it would give eternal food to his jealousy. "
mrs. page,"why, look, where he comes; and my good man too: he's as far from jealousy, as i am from giving him cause; and that, i hope, is an unmeasurable distance. "
mrs. ford,you are the happier woman. 
mrs. page,let's consult together against this greasy knight. come hither. 
ford,"well, i hope it be not so. "
pistol,hope is a curtal dog in some affairs: sir john affects thy wife. 
ford,"why, sir, my wife is not young. "
pistol,"he woos both high and low, both rich and poor, both young and old, one with another, ford. he loves the galimaufry: ford, perpend. "
ford,love my wife! 
pistol,"with liver burning hot: prevent, or go thou, like sir actæon he, with ringwood at thy heels.— o! odious is the name! "
ford,"what name, sir? "
pistol,"the horn, i say. farewell: take heed; have open eye, for thieves do foot by night: take heed, ere summer comes or cuckoo-birds do sing. away, sir corporal nym! believe it, page; he speaks sense. "
ford,i will seek out falstaff. 
page,"i never heard such a drawling, affecting rogue. "
ford,if i do find it: well. 
page,"i will not believe such a cataian, though the priest o' the town commended him for a true man. "
ford,'twas a good sensible fellow: well. 
page,"how now, meg! "
mrs. page,"whither go you, george?—hark you. "
mrs. ford,"how now, sweet frank! why art thou melancholy? "
ford,"i melancholy! i am not melancholy. get you home, go. "
mrs. ford,"faith, thou hast some crotchets in thy head now. will you go, mistress page? "
mrs. page,"have with you. you'll come to dinner, george? "
mrs. ford,"trust me, i thought on her: she'll fit it.  "
mrs. page,you are come to see my daughter anne? 
quickly,"ay, forsooth; and, i pray, how does good mistress anne? "
mrs. page,"go in with us, and see: we'd have an hour's talk with you. "
page,"how now, master ford! "
ford,"you heard what this knave told me, did you not? "
page,yes; and you heard what the other told me? 
ford,do you think there is truth in them? 
page,"hang 'em, slaves! i do not think the knight would offer it: but these that accuse him in his intent towards our wives, are a yoke of his discarded men; very rogues, now they be out of service. "
ford,were they his men? 
page,"marry, were they. "
ford,i like it never the better for that. does he lie at the garter? 
page,"ay, marry, does he. if he should intend this voyage towards my wife, i would turn her loose to him; and what he gets more of her than sharp words, let it lie on my head. "
ford,"i do not misdoubt my wife, but i would be loth to turn them together. a man may be too confident: i would have nothing 'lie on my head:' i cannot be thus satisfied. "
page,"look, where my ranting host of the garter comes. there is either liquor in his pate or money in his purse when he looks so merrily.—  "
host,"how now, bully-rook! thou'rt a gentleman. cavaliero-justice, i say! "
shallow,"i follow, mine host, i follow. good even and twenty, good master page! master page, will you go with us? we have sport in hand. "
host,"tell him, cavaliero-justice; tell him, bully-rook. "
shallow,"sir, there is a fray to be fought between sir hugh the welsh priest and caius the french doctor. "
ford,"good mine host o' the garter, a word with you. "
host,"what sayest thou, my bully-rook? "
host,"hast thou no suit against my knight, my guest-cavalier? "
ford,"none, i protest: but i'll give you a pottle of burnt sack to give me recourse to him and tell him my name is brook, only for a jest. "
host,"my hand, bully: thou shalt have egress and regress; said i well? and thy name shall be brook. it is a merry knight. will you go, mynheers? "
shallow,"have with you, mine host. "
page,"i have heard, the frenchman hath good skill in his rapier. "
shallow,"tut, sir! i could have told you more. in these times you stand on distance, your passes, stoccadoes, and i know not what: 'tis the heart, master page; 'tis here, 'tis here. i have seen the time with my long sword i would have made you four tall fellows skip like rats. "
host,"here, boys, here, here! shall we wag? "
page,have with you. i had rather hear them scold than fight. 
ford,"though page be a secure fool, and stands so firmly on his wife's frailty, yet i cannot put off my opinion so easily. she was in his company at page's house, and what they made there, i know not. well, i will look further into't; and i have a disguise to sound falstaff. if i find her honest, i lose not my labour; if she be otherwise, 'tis labour well bestowed. "
falstaff,i will not lend thee a penny. 
pistol,"why, then the world's mine oyster, which i with sword will open. i will retort the sum in equipage. "
falstaff,"not a penny. i have been content, sir, you should lay my countenance to pawn: i have grated upon my good friends for three reprieves for you and your coach-fellow nym; or else you had looked through the grate, like a geminy of baboons. i am damned in hell for swearing to gentlemen my friends, you were good soldiers and tall fellows; and when mistress bridget lost the handle of her fan, i took't upon mine honour thou hadst it not. "
pistol,didst thou not share? hadst thou not fifteen pence? 
falstaff,"reason, you rogue, reason: thinkest thou, i'll endanger my soul gratis? at a word, hang no more about me; i am no gibbet for you: go: a short knife and a throng!—to your manor of picht-hatch! go. you'll not bear a letter for me, you rogue!—you stand upon your honour!—why, thou unconfinable baseness, it is as much as i can do to keep the terms of mine honour precise. i, i, i, myself sometimes, leaving the fear of god on the left hand and hiding mine honour in my necessity, am fain to shuffle, to hedge and to lurch; and yet you, rogue, will ensconce your rags, your cat-a-mountain looks, your red-lattice phrases, and your bold-beating oaths, under the shelter of your honour! you will not do it, you! "
pistol,i do relent: what wouldst thou more of man?  
robin,"sir, here's a woman would speak with you. "
falstaff,let her approach.  
quickly,give your worship good morrow. 
falstaff,"good morrow, good wife. "
quickly,"not so, an't please your worship. "
falstaff,"good maid, then. "
quickly,"i'll be sworn as my mother was, the first hour i was born. "
falstaff,i do believe the swearer. what with me? 
quickly,shall i vouchsafe your worship a word or two? 
falstaff,"two thousand, fair woman; and i'll vouchsafe thee the hearing. "
quickly,"there is one mistress ford, sir,—i pray, come a little nearer this ways:—i myself dwell with master doctor caius. "
falstaff,"well, on: mistress ford, you say,— "
quickly,"your worship says very true:—i pray your worship, come a little nearer this ways. "
falstaff,"i warrant thee, nobody hears; mine own people, mine own people. "
quickly,"are they so? god bless them, and make them his servants! "
falstaff,well: mistress ford; what of her? 
quickly,"why, sir, she's a good creature. lord, lord! your worship's a wanton! well, heaven forgive you, and all of us, i pray! "
falstaff,"mistress ford; come, mistress ford,— "
quickly,"marry, this is the short and the long of it. you have brought her into such a canaries as 'tis wonderful: the best courtier of them all, when the court lay at windsor, could never have brought her to such a canary; yet there has been knights, and lords, and gentlemen, with their coaches, i warrant you, coach after coach, letter after letter, gift after gift; smelling so sweetly—all musk, and so rushling, i warrant you, in silk and gold; and in such alligant terms; and in such wine and sugar of the best and the fairest, that would have won any woman's heart; and, i warrant you, they could never get an eye-wink of her. i had myself twenty angels given me this morning; but i defy all angels, in any such sort, as they say, but in the way of honesty: and, i warrant you, they could never get her so much as sip on a cup with the proudest of them all; and yet there has been earls, nay, which is more, pensioners; but, i warrant you, all is one with her. "
falstaff,"but what says she to me? be brief, my good she mercury. "
quickly,"marry, she hath received your letter; for the which she thanks you a thousand times; and she gives you to notify that her husband will be absence from his house between ten and eleven. "
falstaff,ten and eleven? 
quickly,"ay, forsooth; and then you may come and see the picture, she says, that you wot of: master ford, her husband, will be from home. alas! the sweet woman leads an ill life with him; he's a very jealousy man; she leads a very frampold life with him, good heart. "
falstaff,"ten and eleven. woman, commend me to her; i will not fail her. "
quickly,"why, you say well. but i have another messenger to your worship: mistress page hath her hearty commendations to you too: and let me tell you in your ear, she's as fartuous a civil modest wife, and one, i tell you, that will not miss you morning nor evening prayer, as any is in windsor, whoe'er be the other: and she bade me tell your worship that her husband is seldom from home; but, she hopes there will come a time. i never knew a woman so dote upon a man: surely, i think you have charms, la; yes, in truth. "
falstaff,"not i, i assure thee: setting the attraction of my good parts aside, i have no other charms. "
quickly,blessing on your heart for't! 
falstaff,"but, i pray thee, tell me this: has ford's wife and page's wife acquainted each other how they love me? "
